CERTIFICATIONID,AGENCYNAME,NCIC
"134,599",Delaware City Police Department,OH0210100
"134,599",Delaware County Prosecutor's Office,OH0210013
"134,599",Delaware County Sheriff's Office,OH0210000
"134,599",Genoa Township Police Department,OH0210800
"134,599",Powell Police Department,OH0210500
"134,599",Sunbury Police Department,OH0210700
"134,599",Westerville Police Department,OH0251000
"134,599",Worthington Police Department,OH0251200
"134,586",Brooklyn Park,MN0270300
"134,586",Dakota County,MN0190000
"134,586",Lino Lakes,MN0020700
"134,586",Maplewood,MN0620400
"134,586",North St. Paul,MN0620700
"134,586",Ramsey County,MN0620000
"134,586",Richfield,MN0271800
"134,586",St. Paul,MN0620900
"134,586",Washington County,MN0820000
"134,586",West St. Paul,MN0190700
"134,580","Austin Police Department201 First Street NE,  Austin, MN  55912",
"134,580","Dodge County Sheriff's Office22 East Sixth Street, Mantorville, MN  55955",
"134,580","Fillmore County Sheriff's Office901 Houston Street NW, Preston, MN 55965",
"134,580","Goodhue County Sheriff's Office430 West Sixth Street, Red Wing, MN  55066",
"134,580","Houston County Sheriff's Office306 South Marshall Street, Ste. 1100, Caledonia, MN  55921",
"134,580","Kasson Police Department401 Fifth Street SE,  Kasson, MN  55944",
"134,580","Mower County Sheriff's Office201 First Street NE,  Austin, MN  55912",
"134,580","Olmsted County Sheriff's Office101 4th Street SE, Rochester, MN  55904",
"134,580","Red Wing Police Department430 West Sixth Street, Red Wing, MN  55066",
"134,580","Wabasha County Sheriff's Office848 17th Street East, Suite 1, Wabasha, MN 55981",
"134,580","Winona County Sheriff's Office201 West Third Street, Winona, MN  55987",
"134,580","Winona Police Department201 West Third Street, Winona, MN  55987",
"134,579",Parkersburg Police Department,WV0540100
"134,579",Vienna Police Department,WV0540800
"134,579",West Virginia State Police,WVWSP3300
"134,579",Wood County Sheriff Department,WV0540800
"134,568",Bay Village Police Dept.,OH0180100
"134,568",Fairview Park Police Dept.,OH0181900
"134,568",Lakewood Police Dept.,OH0182600
"134,568",NorthOlmsted Police Dept.,OH0183400
"134,568",Rocky River Police Dept.,OH0184600
"134,568",Westlake Police Dept.,OH0185700
"134,561",Arkansas State Police,
"134,561",Barling Police Department,
"134,561",Crawford County Prosecuting Attorney,
"134,561",Fort Smith Police Department,
"134,561",Sebastian County Prosecuting Attorney,
"134,561",Sebastian County Sheriff,
"134,561",Van Buren Police Department,
"134,546",City of Brookfield Police Department,WI0680100
"134,546",City of Muskego Police Department,WI0680600
"134,546",City of New Berlin Police Department,WI0680400
"134,546",City of Waukesha Police Department,WI0680500
"134,546",Village of Eagle,WI0682500
"134,546",Village of Hartland Police Department,WI0681100
"134,546",Village of Menomonee Falls Police Department,WI0680300
"134,546",Village of Pewaukee Police Department,WI0681400
"134,546",Waukesha County Sheriff,WI0680000
"134,531",Fairfield County Prosecutor,OH023013A
"134,531",Fairfield County Sheriff,OH0230000
"134,531",Hocking County Prosecutor,OH037013A
"134,531",Hocking County Sheriff,OH0370000
"134,531",Lancaster Police Department,OH0230100
"134,531",Pickerington Police Department,OH0230900
"134,511",City of Cottleville,MO0920700
"134,511",City of Lake St Louis,MO0920900
"134,511",City of O'fallon,MO0920100
"134,511",City of St Charles,MO0920300
"134,511",City of St Peters,MO0920400
"134,511",City of Wentzville,MO0920500
"134,511",St. Charles County,MO0920000
"134,481","Delaware County Sheriff's Office   100 W Washington Street  Muncie, IN 47305",IN0180000
"134,481","Muncie Police Department   300 N High Street  Muncie, IN 47305",IN0180100
"134,444",Champaign County Sheriff,IL0100000
"134,444",Champaign Police Department,IL0100100
"134,444",Danville Police Department,IL0920300
"134,444",Illinois State Police (ZONE 5 - ECITF),IL0150800
"134,444",University of Illinois Police Department,IL0100700
"134,444",Urbana Police Department,IL0100600
"134,444",Vermilion County Sheriff,IL0920000
"134,444",Vermilion Metropolitan Enforcement Group,IL0921700
"134,396",Kiel Police Dept.,WI0360005
"134,396",Manitowoc County Sheriff's Dept.,WI0360000
"134,396",Manitowoc Police Dept.,WI0360001
"134,396",Two Rivers Police Dept.,WI0360002
"134,389",Cottage Grove Police Department,MN0820700
"134,389",Forest Lake Police Department,MN0820200
"134,389",Washington County Sheriff's Office,MN0820000
"134,389",Woodbury Police Department,MN0821100
"134,384",Belle Plaine Police Department,MN0700100
"134,384",Carver County Sheriff's Office,MN0100000
"134,384",Hutchinson Police Department,MN0430200
"134,384",Jordan Police Department,MN0700200
"134,384",Prior Lake Police Department,MN0700900
"134,384",Scott County Sheriff's Office,MN0700000
"134,384",Shakopee Police Department,MN0700400
"134,384",South Lake Minnetonka Police Department,MN0270700
"134,375",Chief Inv. Mark W. Driess,NY03100N1
"134,375",Inv. William A. Evans,NY03100N1
"134,375",Niagara County Drug Task Force,NY03100N1
"134,359",Clermont County Prosecutor's Office,
"134,359",Clermont County Sheriff's Office,OH1300000
"134,359",Pierce Township Police Department,
"134,359",Union Township Police Department,
"134,341",BOONE COUNTY SHERIFFS DEPARTMENT,
"134,341",BOONVILLE POLICE DEPARTMENT,
"134,341",CALLAWAY COUNTY SHERIFFS DEPARTMENT,
"134,341",COLE COUNTY SHERIFFS DEPARTMENT,
"134,341",COLUMBIA POLICE DEPARTMENT,
"134,341",FULTON POLICE DEPARTMENT,
"134,341",JEFFERSON CITY POLICE DEPARTMENT,
"134,341",MISSOURI STATE HIGHWAY PATROL,
"134,315",Auburn Police Department,
"134,315",California Highway Patrol-Gold Run,
"134,315",California Highway Patrol-New Castle,
"134,315",California Parks and Recreation,
"134,315",Lincoln Police Department,
"134,315",Placer County District Attorney's Office,
"134,315",Placer County Probation Department,
"134,315",Placer County Sheriff's Office,
"134,315",Rocklin Police Department,
"134,315",Roseville Police Department,
"134,252",Arcadia Police Department,WI0626200
"134,252",Bangor Police Department,WI0320500
"134,252",Black River Falls Police Department,WI0270100
"134,252",Campbell Police Department,WI0320600
"134,252",Jackson County Sheriff's Department,WI0270000
"134,252",La Crosse County Sheriff's Department,WI0320000
"134,252",La Crosse Police Department,WI0320100
"134,252",Monroe County Sheriff's Department,WI0420000
"134,252",Onalaska Police Department,WI0320200
"134,252",Osseo Police Department,WI0620700
"134,252",Sparta Police Department,WI0420200
"134,252",Tomah Police Department,wI0420300
"134,252",Trempealeau County Sheriff's Department,WI0620000
"134,252",Vernon County Sheriff's Department,WI0630000
"134,252",Viroqua Police Department,WI0630200
"134,252",West Salem Police Department,WI0320300
"134,252",fHolmen Police Department,WI0320700
"134,234",Blue Earth County,
"134,234",City of Madelia,
"134,234",City of Mankato,
"134,234",City of North Mankato,
"134,234",City of St. James,
"134,234",City of St. Peter,
"134,234",Martin County,
"134,234",Nicollet County,
"134,234",Watonwan County,
"134,223",Bellevue Police Department,WA0170200
"134,223",King County Prosecutor's Office,WA107015J
"134,223",King County Sheriff's Office,WAKCS0000
"134,223",Kirkland Police Department,WA0170800
"134,223",Mercer Island Police Department,WA0170900
"134,223",Redmond Police Department,WA0171200
"134,223",Washington State Patrol,WAWSP2000
"134,155",Ashtabula County Sheriff's Office,OH0040000
"134,155",Trumbull County Sheriff's Office,OH0780000
"134,151",Ann Arbor Police Department,MI8121800
"134,151",Brighton Police Department,MI4726900
"134,151",Eastern Michigan University DPS,MI8136600
"134,151",Fowlerville Police Department,MI4740500
"134,151",Green Oak Township Police Department,MI4786500
"134,151",Hamburg Township Police Department,MI4745100
"134,151",Howell Police Department,MI4748200
"134,151",Livingston County Prosecutor,MI470013A
"134,151",Livingston County Sheriff Department,MI4714700
"134,151",Michigan State Police,MI8102600
"134,151",Milan Police Department,MI8158400
"134,151",Northfield Township Police Department,MI8196400
"134,151",Pittsfield Department of Public Safety,MI8190600
"134,151",Saline Police Department,MI8172800
"134,151",Washtenaw County Prosecutor,MI810013A
"134,151",Washtenaw County Sheriff's Office,MI8118100
"134,151",Ypsilanto Police Department,MI8136600
"134,092",Elkins Police Department,AR0721000
"134,092",Elm Springs Police Department,AR0721200
"134,092",Farmington Police Department,AR0720500
"134,092",Fayetteville Police Department,AR0720100
"134,092",Greenland Police Department,AR0720700
"134,092",Johnson Police Department,AR0720900
"134,092",Lincoln Police Department,AR0720600
"134,092",Prairie Grove Police Department,AR0720300
"134,092",Springdale Police Department,AR0720202
"134,092",Washington County Sheriff's Department,AR0720000
"134,092",West Fork Police Department,AR0720800
"134,082",Bismarck Police Department,ND0080100
"134,082",Bureau of Indian Affairs,
"134,082",Burleigh County Sheriff's Department,ND0080000
"134,082",Drug Enforcement Administration,NDDEA0200
"134,082",Mandan Police Department,ND0300200
"134,082",Morton County Sheriff's Department,ND0300000
"134,082",North Dakota Bureau of Criminal Investigation,NDBCA0000
"134,069",Evansville Police Department,IN0820001
"134,069",Vanderburgh County Prosecutor's Office,IN0820001
"134,069",Vanderburgh County Sheriff's Department,IN0820001
"134,064",CITY OF CORTEZ,CO0420100
"134,064",DOLORES COUNTY SHERIFF'S OFFICE,CO0170000
"134,064",MONTEZUMA COUNTY DISTRICT ATTORNEY,CO042015A
"134,064",MONTEZUMA SHERIFF'S OFFICE,CO0420000
"134,017",Chesterton Police Dept.,IN0640100
"134,017",Portage Police Dept,IN0640200
"134,017",Porter County Prosecutor,IN064015A
"134,017",Porter County Sheriff,IN0640000
"134,017",Valparaiso Police Dept,IN0640300
"134,002",Cattaraugus County Sheriff's Office,NY0067900
"134,002",Chautauqua County Sheriff's Office,
"134,002",City of Dunkirk Police Department,
"134,002",City of Jamestown Police Department,
"133,995",Bryan Police Department,OH0860100
"133,995",Defiance City Police Department,OH0200100
"133,995",Defiance County Sheriff's Office,OH0200000
"133,995",Henry County Sheriff's Office,OH0350000
"133,995",Putnam County  Sheriff's Office,OH0690000
"133,995",Williams County Sheriff's Office,OH0860000
"133,948",Jefferson County District Attorney's Office,NY022013A
"133,948",Jefferson County Sheriff's Department,NY0220000
"133,948",Watertown City Police Department,NY0220100
"133,946","Bureau of Alcohol, Tobacco and Firearms",DCATF0000
"133,946",Corpus Christi Police Department,TX1780200
"133,946",Drug Enforcement Administration,TXDEA0000
"133,946",Federal Bureau of Investigations,TXFBI0000
"133,946",Fort Bend County Sheriff's Office,TX0790000
"133,946",Harris County Sheriff's Office,TX1010000
"133,946",Homeland Security Investigations ICE,DCICE0000
"133,946",Houston Police Department,TXHPD0000
"133,946",Internal Revenue Service,IRS000000
"133,946",Kleberg County Sheriff's Office,TX1370000
"133,946",La Porte Police Department,TX1011300
"133,946",Montgomery County Sheriff's Office,TX1700000
"133,946",Nueces County Sheriff's Office,TX1780000
"133,946",Pasadena Police Department,TX1011500
"133,946",Portland Police Department,TX2050300
"133,946",Texas Department of Criminal Justice OIG,TX236105C
"133,946",Texas Department of Public Safety,TXDPS4600
"133,946",Texas National Guard,TXNG00000
"133,946",United States Marshals Service,TXUSMS300
"133,929",COPPELL POLICE DEPARTMENT,TXEQ00173
"133,929",DALLAS COUNTY DISTRICT ATTORNEY'S OFFICE,TX057015A
"133,929",DALLAS COUNTY SHERIFF'&apos;S OFFICE,TX0570000
"133,929",DALLAS POLICE DEPARTMENT,TXDPD0000
"133,929",ELLIS COUNTY SHERIFF'S OFFICE,TX0700000
"133,929",IRVING POLICE DEPARTMENT,TX0571500
"133,929",KAUFMAN COUNTY SHERIFF'S OFFICE,TX1290000
"133,929",RICHARDSON POLICE DEPARTMENT,TX0572000
"133,929",WAXHACHIE POLICE DEPARTMENT,TX0701000
"133,895",Buchanan County Sheriff's Department,MO0110000
"133,895",Missouri State Highway Patrol Troop H,MOMHP0006
"133,895",Saint Joseph Police Department,MO0110100
"133,891","Salina Kansas Police Department, 255 North 10th Street Salina, Kansas 67401",KS0850100
"133,891","Saline County Kansas Sheriff""s Dept.  251 North 10th Street Salina, Kansas 67401",KS0850000
"133,876",Daren Fox,KS089025Y
"133,876",Dean Reynoldson,KS089025Y
"133,876",Miguel Arellano-Hernandez,KS089025Y
"133,843",Anoka County Sheriff's Office,MN0020000
"133,843",Anoka Police Department,MN0020100
"133,843",Blaine Police Department,MN0020200
"133,843",Champlin Police Department,MN0272900
"133,843",Columbia Heights Police Department,MN0020400
"133,843",Coon Rapids Police Department,MN0020500
"133,843",Fridley Police Department,MN0020600
"133,843",Maple Grove Police Department,MN0272700
"133,833",City of Fort Atkinson Police Department,WI0280100
"133,833",City of Jefferson Police Department,WI0289200
"133,833",City of Lake Mills Police Department,WI0280400
"133,833",City of Waterloo Police Department,WI0280700
"133,833",City of Watertown Police Department,WI0280300
"133,833",Jefferson County Sheriff's Office,WI0280000
"133,833",Township of Lake Mills Police Department,WI0281000
"133,818",Binghamton Police Department,NY0030100
"133,818",Johnson City Police Department,NY0030300
"133,792",AUBURN POLICE DEPARTMENT,WA0170100
"133,792",BONNEY LAKE POLICE DEPARTMENT,WA0271400
"133,792",DEPARTMENT OF CORRECTIONS,WA034015G
"133,792",FIFE POLICE DEPARTMENT,WA0270700
"133,792",PIERCE COUNTY PROSECUTORS OFFICE,WA027013A
"133,792",PIERCE COUNTY SHERIFFS OFFICE,WA0270000
"133,792",PUYALLUP POLICE DEPARTMENT,WA0270100
"133,792",TACOMA POLICE DEPARTMENT,WA0270300
"133,792",WASHINGTON STATE PATROL,WAWSP0020
"133,784",Edmonds Police Department,WA0310200
"133,784",Lynnwood Police Department,WA0310400
"133,784",Mountlake Police Department,WA0310600
"133,736",Arkansas County Sheriff's Office,AR0010000
"133,736",Jefferson County Sheriff's Office,AR0350000
"133,736",Lincoln County Sheriff's Office,AR0400000
"133,736",Pine Bluff Police Department,AR0350100
"133,736",Prosecuting Attorney 11 JD East,AR001015A
"133,736",Prosecuting Attorney 11 JD West,AR035015A
"133,732",Dauphin County CID,PA022013A
"133,732",Derry Township PD,PA0221500
"133,732",Hummelstown Borough PD,PA0220300
"133,732",Lower Paxton Twp PD,PA0220405
"133,732",Lower Swatara Twp PD,PA0221700
"133,732",Middletown Borough PD,PA0220500
"133,732",Millersburg PD,PA0221200
"133,732",Penbrook Borough PD,PA0221300
"133,732",Steelton Borough PD,PA0220700
"133,732",Susquehanna Twp PD,PA0220800
"133,732",Swatara Twp PD,PA0220900
"133,688",Cincinnati Bureau ATF,OHATF0102
"133,688",Cincinnati FBI,OHFBIC100
"133,688",Dayton Drug Enforcement Agency,OHDEA0501
"133,688",ICE,OHICE0300
"133,688",Lebanon Police Department,OH0830300
"133,688",Ohio BCI & I,OHBCI0000
"133,688",Ohio National Guard,OHQNGCDZ5
"133,688",Warren County Sheriff's Office,OH0830000
"133,688",Wilmington Police Department,OH0140400
"133,682",Columbiana County Sheriff's Office,OH0150000
"133,682",Leetonia Police Department,OH0150400
"133,682",Lisbon Police Department,OH0150500
"133,682",Perry Township Police Department,OH0151900
"133,682",Salem Police Department,OH0150600
"133,664",Arapahoe County Sheriff's Office,CO0030000
"133,664",Aurora Police Department,CO0010100
"133,664",Colorado Bureau of Investigation,COCBI0008
"133,664",Denver Police Department,CODPD0000
"133,664",Douglas County Sheriff's Office,CO0180000
"133,664",Drug Enforcement Administration,
"133,632",Barboursville Police Department,WV0060100
"133,632",Cabell County Sheriff's Department,WV0064000
"133,632",Huntington Police Department,WV0060200
"133,632",West Virginia State Police,WV0061900
"133,610",Cass County Sheriff's Department,TX0340000
"133,610",Morris County Sheriff's Department,TX1720000
"133,587",Apopka Police Department,FL0480100
"133,587",Florida Department of Law Enforcement,FL0481100
"133,587",Ocoee Police Department,FL0480300
"133,587",Orange County Sheriff's Office,FL0480000
"133,587",Orlando Police Department,FL0480400
"133,587",Osceola County Sheriff's Office,FL0490000
"133,587",State Attorney's Office 9th Judicial Circuit,FL048015A
"133,587",University of Central Florida Police Department,FL0481400
"133,587",Winter Park Police Department,FL0480600
"133,556",Ansonia Police Department,ct0000200
"133,556",Derby Police Department,ct0003702
"133,556",Seymour Police Department,ct0012400
"133,556",Shelton Police Department,ct0012600
"133,555",Apple Creek Police Department,
"133,555",Brunswick Police Department,
"133,555",Creston Police Department,
"133,555",Dalton Police Department,
"133,555",Doylestown Police Department,
"133,555",Millersburg Police Department,
"133,555",Mount Eaton Police Department,
"133,555",Ohio Bureau of Criminal Identification and Investigation,
"133,555",Ohio Parole Authority,
"133,555",Orrville Police Department,
"133,555",Rittman Police Department,
"133,555",Shreve Police Department,
"133,555",Smithville Police Department,
"133,555",Wayne County Sheriff's Office,
"133,555",Wooster Police Department,
"133,545",City of Delavan Police Department,WI0650100
"133,545",City of Elkhorn Police Department,WI0650200
"133,545",City of Lake Geneva Police Department,WI0650300
"133,545",City of Whitewater Police Department,WI0650500
"133,545",Town of Bloomfield Police Department,WI0650700
"133,545",Town of Delavan Police Department,WI0651700
"133,545",Town of East Troy Police Department,WI0650900
"133,545",Town of Geneva Police Department,WI0651200
"133,545",Town of Linn Police Department,WI0650600
"133,545",University Wisconsin-Whitewater Police Department,WI0652400
"133,545",Village of Darien Police Department,WI0650800
"133,545",Village of East Troy Police Department,WI0651000
"133,545",Village of Fontana Police Department,WI0651100
"133,545",Village of Genoa City Police Department,WI0651300
"133,545",Village of Sharon Police Department,WI0651500
"133,545",Village of Walworth Police Department,WI0650400
"133,545",Village of Williams Bay Police Department,WI0651600
"133,512",Director Gary D. Hubbard,OHEQ00031
"133,512",Medina County Drug Task Force,OHEQ00031
"133,510",Federal Bureau of Investigation,INEQ00191
"133,510",Indiana State Police,INEQ00191
"133,510",Lafayette Police Department,INEQ00191
"133,510",Tippecanoe County Sheriff's Department,INEQ00191
"133,510",West Lafayette Police Department,INEQ00191
"133,508","Bremen Police Department  123 S. Center St.,  Bremen, IN  46506",
"133,508","Marshall County Prosecutor's Office  112  W. Jefferson St., Plymouth,  IN 46563",
"133,508","Marshall County Sheriff's Office  1400 Pioneer Drive, Plymouth IN  46563",
"133,508","Plymouth Police Department  215 W Washington St.  Plymouth, IN  46563",
"133,483",Ellis County Sheriff's Office,KS0260000
"133,483",Hays Police Department,KS0260100
"133,470",Jackson City Police Department,MI3849700
"133,470",Jackson County Sheriff Department,MI3813800
"133,470",Michigan State Police,MI3897500
"133,455",Austintown Police Department,OH0500100
"133,455",Beaver Township Police Department,OH0501300
"133,455",Boardman Township Police Department,OH0500200
"133,455",Campbell Police Department,OH0500300
"133,455",Canfield Police Department,OH0500400
"133,455",Federal Bureau of Investigation,OHFBIYN01
"133,455",Hubbard Police Department,OH0780200
"133,455",Liberty Township Police Department,OH0780300
"133,455",Mahoning County Prosecutor's Office,OH050013A
"133,455",Mahoning County Sheriff's Department,OH0500000
"133,455",Mill Creek Metro Parks Police Department,OH0501900
"133,455",Milton Township Police Department,OH0502000
"133,455",New Middletown Police Department,OH0501200
"133,455",North Jackson Police Department,OH0502100
"133,455",Ohio Adult Parole Authority,OH050015G
"133,455",Poland Township Police Department,OH0502200
"133,455",Poland Village Police Department,OH0500600
"133,455",Struthers Police Department,OH0500800
"133,455",Youngstown Police Department,OH0500900
"133,455",Youngstown State University Police,OH0501400
"133,364",DSgt. George Chopek,NJ006023A
"133,364",DSgt. Jody Farabella (MPD),NJ0061000
"133,364",DSgt. Ross Hoffman (MPD),NJ0061000
"133,364",DSgt. Steve O'Neill,NJ006023A
"133,364",Det. Dominick Patitucci,NJ006023A
"133,364",Det. Jason Vinzinski (MPD),NJ0061000
"133,364",Det. Joseph Hoydis (MPD),NJ0061000
"133,364",Det. Lynn Wehling,NJ006023A
"133,364",Det. Ray Cavagnaro,NJ006023A
"133,364",Det. Robert Bernard,NJ006023A
"133,364",Lt. Commander Rosemary Parks,NJ006023A
"133,364",Officer Chris Carella (CCSD),NJ0060000
"133,364",Officer Darrell Meyers (CCSD),NJ0060000
"133,364",Officer Michael Panzino (CCSD),NJ0060000
"133,352",Brown County Sheriff's Department,MN0080000
"133,352",Lyon County Sheriff's Department,MN0420000
"133,352",Marshall Police Department,MN0420100
"133,352",New Ulm Police Department,MN0080100
"133,352",Redwood County Sheriff's Department,MN0640000
"133,352",Redwood Falls Police Department,MN0640200
"133,352",Renville County Sheriff's Department,MN0650000
"133,350",ATF,OHATF02S0
"133,350",Akron Police Department,OH0770100
"133,350",BCI & I,OHBCI0000
"133,350",Barberton Police Department,OH0770200
"133,350",City of New Franklin Police Department,OH0772900
"133,350",Copley Police Department,OH0772702
"133,350",Cuyahoga Falls Police Department,OH0770300
"133,350",DEA,OHDEA02S0
"133,350",FBI,OHFBIZ200
"133,350",ICE,OHICE0100
"133,350",Reminderville Police Department,OH0771999
"133,350",Springfield Police Department,OH0772500
"133,350",Stow Police Department,OH0771223
"133,350",Summit Coounty Prosecutor's Office,OH077013A
"133,350",Summit County Sheriff's Office,OH0770000
"133,350",University of Akron Police Department,OH0772898
"133,345",DEPUTY JASON SKLBA,MI7417499
"133,345",DEPUTY KELSEY WADE,MI7417499
"133,345",DEPUTY MATTHEW POHL,MI7417499
"133,345",DEPUTY MICHAEL VERWYS,MI7417499
"133,345",LT. RICHARD MOUILLESEAUX,MI7417499
"133,345",OFFICER NICHOLAS GODWIN,MI7417499
"133,345",SGT. JAMES SPADAFORE,MI7417499
"133,345",ST CLAIR COUNTY DRUG TASK FORCE,MI7417499
"133,343",Hood River Police Department,or0140200
"133,343",Hood River Sheriff Office,or0140000
"133,343","Oregon State Police - The Dalles, OR",or0sp1600
"133,343",The Dalles City Police,or0330100
"133,343",Wasco County Sheriff,or0330000
"133,342",Hood River Police Department,or0140200
"133,342",Hood River Sheriff Office,or0140000
"133,342","Oregon State Police - The Dalles, OR",or0sp1600
"133,342",The Dalles City Police,or0330100
"133,342",Wasco County Sheriff,or0330000
"133,277",Cheviot Police Department,oh0310500
"133,277",Evendale Police Department,oh0311000
"133,277",Fairfax Police Department,oh031013p
"133,277",Forest Park Police Department,oh0311200
"133,277",Green Township Police Department,oh0314400
"133,277",Greenhills Police Department,oho311500
"133,277",Harrison Police Department,oh0311600
"133,277",Lockland Police Department,oh0311900
"133,277",Loveland Police Department,oh0312000
"133,277",Madeira Police Department,oh0312100
"133,277",Mariemont Police Department,oh0312200
"133,277",Montgomery Police Department,oh0312300
"133,277",North College Hill Police Department,oh0312700
"133,277",Springdale Police Department,oh0313300
"133,277",Springfield Township Police Department,oh0313400
"133,277",Springfield Township Police Department,oho313400
"133,274","Miller County, Arkansas Sheriff's Department",aro460000
"133,274","Texarkana, Arkansas Police Department",aro460100
"133,259",Coshocton County Prosecutor's Office,OH016011a
"133,259",Coshocton County Sheriff's Office,OH0160000
"133,259",Granville Police Department,OH0450300
"133,259",Heath Police Department,OH0450700
"133,259",Licking County Prosecutor's Office,OH045013a
"133,259",Licking County Sheriff's Office,OH0450000
"133,259",Muskingum County Sheriff's Office,OH0600000
"133,259",New Lexington Police Department,OH0642000
"133,259",Newark Police Department,OH4501300
"133,259",Perry County Sheriff's Office,OH0640000
"133,207",Craig Police Department,CO0410100
"133,207",Moffat County Sheriff's Office,CO0410000
"133,207",Routt County Sheriff's Office,CO0540000
"133,207",Steamboat Springs Police Department,CO0540100
"133,181",CLAYTON POLICE,OH0571700
"133,181",FIVE RIVERS METRO PARKS,OH0573200
"133,181",GERMANTOWN POLICE,OH0570300
"133,181",JACKSON TOWNSHIP POLICE,OH0572700
"133,181",MIAMI TOWNSHIP,OH0570700
"133,181",MONTGOMERY COUNTY SHERIF'S OFFICE,OH0570000
"133,181",NEW LEBANON POLICE,OH0572000
"133,181",OHIO BCI&I,OHBCI0000
"133,181",PERRY TOWNSHIP,OH0572800
"133,181",RIVERSIDE POLICE,OH0572200
"133,181",TROTWOOD POLICE,OH0571200
"133,158",HENRY MOREHOUSE,OH0255400
"133,158",OSCAR SALAS,OH0255400
"133,123",BREWSTER POLICE DEPARTMENT,WA0240100
"133,123",COLVILLE TRIBAL POLICE,WADI05700
"133,123",COULEE DAM POLICE DEPARTMENT,WA0240700
"133,123",FERRY COUNTY PROSECUTING ATTORNEY,
"133,123",FERRY COUNTY SHERIFF'S OFFICE,WA0100000
"133,123",OKANOGAN COUNTY PROSECUTING ATTORNEY,
"133,123",OKANOGAN COUNTY SHERIFF'S OFFICE,WA0240000
"133,123",OMAK POLICE DEPARTMENT,WA0240300
"133,123",OROVILLE POLICE DEPARTMENT,WA0240400
"133,123",TWISP POLICE DEPARTMENT,WA0240900
"133,123",US BORDER PATROL - CURLEW,WACBP0300
"133,123",US BORDER PATROL - OROVILLE,WACBP0500
"133,123",US CUSTOMS AND BORDER PROTECTION - OROVILLE PORT OF ENTRY,WAUSC2066
"133,123",WASHINGTON STATE PATROL,WAWSP6000
"133,123",WINTHROP MARSHAL'S OFFICE,WA0241000
"133,116",Carbondale Police Department,CO0230400
"133,116",Garfield County Sheriff's Office,CO0230000
"133,116",Glenwood Springs Police Department,CO0230100
"133,116",Rifle Police Department,CO0230300
"133,116",Silt Police Department,CO0230500
"133,116",Vail Police Department,CO0190900
"133,074",Bartow County Sheriff's Office,GA0080000
"133,074",Cartersville Police,GA0080100
"133,051","Kenosha County Sheriff's DepartmentKenosha Police DepartmentVillage of Pleasant Prairie",
"133,051","Village of Twin Lakes PoliceUniversity-WI Parkside Police",
"133,030",Calumet County Sheriff's Department,WI0080000
"133,030",City of Appleton Police Department,WI0450100
"133,030",City of Fond du Lac Police Department,WI0200100
"133,030",City of Kaukauna Police Department,WI0450200
"133,030",City of Menasha Police Department,WI0710100
"133,030",City of Neenah Police Department,WI0710200
"133,030",City of New London Police Department,WI0690200
"133,030",City of North Fond du Lac Police Department,WI0200400
"133,030",City of Oshkosh Police Department,WI0710300
"133,030",Fond du Lac County Sheriff's Department,WI0200000
"133,030",Fox Valley Metro Police Department,WI0450400
"133,030",Outagamie County Sheriff's Department,WI0450000
"133,030",Town of Menasha Police Department,WI0710500
"133,030",Winnebago County Sheriff's Department,WI0710000
"133,001",City of Berkeley Police Department,MO0950700
"133,001",City of Bridgeton Police Department,MO0951000
"133,001",City of Hazelwood,MO0953800
"132,994",Beavercreek Police Department,OH0291100
"132,994",Fairborn Police Department,OH0290100
"132,994",Greene County Prosecutor's Office,OH029013A
"132,994",Greene County Sheriff's Office,OH0290000
"132,994",Sugarcreek Township Police Department,OH0291300
"132,994",Xenia Police Division,OH0290300
"132,994",Yellow Springs Police Department,OH0290400
"132,976",Arlington Police Department,TX2200100
"132,976",Fort Worth Police Department,TX2201200
"132,976",North Richland Hills Police Department,TX2202100
"132,976",Parker County Sheriff&apos;s Office,TX1840000
"132,976",Tarrant County District Attorney&apos;s Office,TX220015A
"132,976",Weatherford Police Department,TX1840100
"132,972",The Aurora County Sheriff&apos;s Office,SD0010000
"132,972",The Davison County Sheriff&apos;s Office,SD0170000
"132,972",The Hanson County Sheriff&apos;s Office,SD0300000
"132,972",The Mitchell Police Department,SD0170100
"132,972",The Sanborn County Sheriff&apos;s Office,SD0550000
"132,900",Bal Harbour Police Department,FL0130100
"132,900",City of Aventura Police Department,FL0139100
"132,900",City of Coral Gables Police Department,FL0130200
"132,900",City of Davie Police Department,FL0061200
"132,900",City of Doral Police Department,FL0131100
"132,900",City of Fort Lauderdale Police Department,FL0060300
"132,900",City of Golden Beach Police Department,FL0132400
"132,900",City of Hallandale Beach Police Department,FL0060400
"132,900",City of Hialeah Police Department,FL0130400
"132,900",City of Miami Beach Police Department,FL0130700
"132,900",City of Miami Gardens Police Department,FL0139700
"132,900",City of Miami Police Department,FL0130600
"132,900",City of Miami Shores Police Department,FL0130800
"132,900",City of North Miami Police Department,FL0131800
"132,900",City of Pembroke Pines Police Department,FL0060800
"132,900",The Office of the State Attorney,FL013015A
"132,900",The Town of Surfside Police Department,FL0131300
"132,896","Blue Springs, MO Police Dept., 903 W. Main St., Blue Springs, MO 64015",MO0480100
"132,896","Grain Valley, MO Police Dept., 711 Main, Grain Valley, MO 64029",MO0480300
"132,896","Grandview, MO Police Dept., 1200 Main St., Grandview, MO 64030",MO0480600
