CERTIFICATIONID,DESCRIPTION,JUSTICE
"134,145",National Law Enforcement - National Law Enforcement Officers Memorial,"1,000"
"134,080",Federation of Organizations,"10,500"
"134,080",Megan's Law,"14,603"
"134,078",enclosed trailer for Beat the Heat program,"5,770"
"134,078",membership dues for Beat the Heat program,180
"134,078",promotional items for Beat the Heat program,"2,720"
"134,073",National Night Out,624
"134,058",National Law Enforcement Officers Memorial Museum,"2,500"
"134,053","Explorer Uniforms(14) Tru Spec Black Tac Shirt - size small 1, medium - 7, large - 6 ($22.06 EA)(14) Screen Print on Back shirt ""Explorer in white ($10.20 EA)(14) Reverse white flag patch ($2 EA)(14) Tru Spec Blackk Tac Trousers - small - 2, medium - 9, large - 2, Xlarge - 1 ($22.06 EA)(50) 4&quot; sleeve emblems 85% EMB - Explorer Post 150 Emblem ($3.70 EA)",973
"134,053",ORA-06502: PL/SQL: numeric or value error: character string buffer too small,356
"134,048",John 3:16 Ministries Drug Rehab. Build and Refurbish Lodging,"3,700"
"134,021",NIMCO - Crime Prevention products,921
"134,021",National Imprint Corporation - Crime Prevention products,961
"134,021",Positive Promotions - Crime Prevention products,959
"134,019","Placentia Police Community Svcs. & Crime Prevention Unit, Explorer Post &amp; Volunteers in Police","3,636"
"134,011",St. James School District Anti Drug Campaign,"1,250"
"134,010",Bethlehem Police Department Explorer Post,974
"134,010",Junior Police Academy,108
"134,009",Crime Stoppers Program,500
"134,008",DARE Program,633
"134,007",Fingerprint Materials,"1,042"
"134,007",Red Ribbon Materials,158
"134,007",Safe Night Materials,554
"133,996","""A CHILD IS MISSING&quot; PROGRAM",350
"133,994",National Night Out Community Event/Drug Abuse Prevention,"1,843"
"133,988",A Child is Missing Alert Program,400
"133,987",AREA SCHOOLS,194
"133,945",Children's Advocacy Center,"5,000"
"133,945",LISD Campus Crime Stoppers,"5,000"
"133,945",Laredo Crime Stoppers,"5,000"
"133,945",Voz De Ninos,"5,000"
"133,945",Webb County Sheriff's Police Activity League,"5,000"
"133,938",2011  drug Free Capital District Program,"19,200"
"133,933",MLK Parade,87
"133,884",PAL PLUS,"1,080"
"133,877",JERSEY CITY POLICE COMMUNITY BASED PROGRAMS,"8,177"
"133,813",Drug Drop Box and Football Cards for Kids,648
"133,810","National Law Enforcement Museum,  901 E. Street Washington, DC 20004-2025",55
"133,743","Lakeside Center, Pattonville High School","19,682"
"133,732",Harrisburg Regional Police Athletic League,500
"133,689",CrimeStoppers,"1,000"
"133,592",Crime Reports,"2,388"
"133,592",Crime Reports TipSoft V5,"1,800"
"133,519",Midnight Basketball program - for teens to stay off of streets,"89,261"
"133,519",Teen programs & Evening Programs for local youth,"99,667"
"133,519",new vehicles for volunteer/citizen mobile patrol program,"206,980"
"133,517",National Law Enforcement Museum,"1,500"
"133,498",DVD/Hard Times for at risk students,48
"133,483","Project Graduation donations (Purchase of I-pads) for all four high schools, public & private within Ellis County, KS",700
"133,429","Griffith School Programs ie:DARE,GREAT",265
"133,411",Bond County Community Unit 2,242
"133,411",Carter Education Program,"3,354"
"133,411",Cooperation School Districts,"1,480"
"133,411",Global Connect,"2,755"
"133,411",St Louis Regional Crime Stoppers,250
"133,388",City of Livonia- Passport to Safety and Backpack Program,"14,486"
"133,382",Bond County Community Unit 2 School,"2,803"
"133,291",YOUTH RESOURCES TEEN POWER OF EVANSVILLE INDIANA,"2,000"
"133,229",Supplies for Drug Awareness,"1,093"
"133,191",Air 1 Foundation - Donation,500
"133,187",BRUSHTON/MOIRA SCHOOL - ANTI BULLYING CAMPAIGNE,"1,000"
"133,187",CHILD CARE COUNCIL CONFERENCE,200
"133,187",FRANKLIN COUNTY HIGHWAY DEPT - FENCING,"13,025"
"133,167",Chillicothe Alcohol/Drug Awareness,750
"133,167",Ross County DARE Program,845
"133,141","Friday Night Heat/Lock, Take and Hide/ Craig Shaw Memorial Mud Run",715
"133,066","Funds spent for emergency lodging for senior citizen in distress, outreach program",51
"133,027",Center for Family Outreach,"6,249"
"133,002",Rachel&apos;s Challenge Event at Pattonville High School,"4,500"
"132,997",Bike Rodeo,131
"132,997",Citizens Academy,768
"132,997",DARE/Explorer Programs,"2,659"
"132,997",Secret Santa,102
"132,675",Phoenix Crisis Center,604
"132,503",Massachusetts Counterdrug Demand Reduction,"4,506"
"132,415",Child Advocacy Center - Interview Room,"3,570"
"132,301",Crime Watch Expenses,"29,520"
"132,301",FIU Bicayne Campus,"3,000"
"132,301",FIU Foundation,"5,000"
"132,301",Miami Dade Crimstoppers,"10,000"
"132,301",Miami PAL,"10,000"
"132,301",Other,"2,085"
"132,301",PAL Supplies,500
"132,301",Police Chief's Association,"11,050"
"132,301",Police Officer's Assistance Trust Fund,"5,000"
"132,301",Police Unity Tour,"5,000"
"132,301",SurfBalBay PAL,"2,500"
"132,301",Tour De Force,"3,000"
"132,220","Food for Community Halloween Program, Municipal Judge Ceremony",264
"132,202",Drug Education for Youth (DEFY),"9,819"
"132,202",Operation Crackdown (Demolish Crackhouses),"14,007"
"132,202","Texas Challenge Academy","4,800"
"132,202",Texas Starbase,"10,833"
"132,122",National Night Out &amp; Citizen&apos;s Law Enforcement Academy,"4,883"
"132,117",Lake County Office of Education,"4,450"
"132,115",First Tee of Broward - Lake Worth Golf & Academic Excellence Program,"16,821"
"132,115",Glades Area Junior Golf & Academic Excellence Program,"24,201"
"132,113",Minuteman Youth Camp T-Shirts w/ drug free message (810),"3,817"
"132,008",Oklahoma Army National Guard Drug Demand Reduction Program,"1,595"
"131,930",Drug Abuse Resistance Education / National Night Out,654
"131,918",Oregon Partnership (projection system for meetings),"2,789"
"131,907",Community Resource Coordinator,"2,600"
"131,907",Crime Victims Liaison Progream,"11,801"
"131,905",Hamtramck Community - Weed &amp; Seed,618
"131,901",Electricity for Boxing Club,"1,355"
"131,859","Advertising for Back to School, Red Ribbon, and Halloween","2,463"
"131,859",Finger ID Kits and Sports Bottles,"2,103"
"131,859",Radio Remotes/Advertising,600
"131,859",Supplies for Children Activiies,"4,824"
"131,823",Crime Prevention,"1,163"
"131,823",Drug Prevention,396
"131,823",Multi Agency Sporting Events,"2,062"
"131,815",LULAC- Drug and Gang Education,"5,000"
"131,802",ComputerCOP Software Corporation,"5,600"
"131,754",CRIME STOPPERS OF MIAMI-DADE (PUBLIC SERVICE ADVERTISEMENT),"6,500"
"131,741","Crime Stoppers of Broward County, Florida","2,000"
"131,740",Black on Black Crime Task Force cleaning services (vocational training for at risk youth) of the Reichert House.,"1,560"
"131,732",Boys &amp; Girls Club of Laredo (Reimbursement for purchase of Security Cameras and installation).,"25,851"
"131,732","Drug Free Campaign (anti-drug abuse, domestic violence, DWI and child abuse awareness pamphlets and give away items to be used during different events e.g. for schools, conferences, outdoor events)","26,259"
"131,732","Public Service Announcements to promote awareness against Drug Abuse, Domestic Violence, DWI, Child Abuse and Hot Checks","58,650"
"131,726",The National Law Enforcement Museum,500
"131,708",Florida Sheriff's Youth Ranches,"5,000"
"131,690",Gulfport Police Athletic League (PAL),"10,000"
"131,688","Family Concepts, Ltd","2,848"
"131,681","National Night Out - Supplies for Event, T-shirts, Book Bags","14,077"
"131,659",National Law Enforcement Museum,500
"131,646",Families 4 Change First Offenders Program,"3,974"
"131,646",Irving Indendent School District Summer Hoops Program,"3,000"
"131,646",Junior Police Badge Stickers,"1,160"
"131,646",T-Shirts for Police Athletic League Outdoors Program,555
"131,637",BOY SCOUTS OF AMERICA-BIKES DONATIONS,"2,340"
"131,631",A Positive Step of Monroe County,"2,500"
"131,624","Girls Basketball Boosters, Flagpole for Parks and Recreation and Tractor Pull","1,841"
"131,600",Rubber Ducky Printing for T-Shirts,515
"131,570",National Law Enforcement Officers Memorial Fund,100
"131,565","Key chains, bags, shirts, and educational brochures, to inform and promote Police activities","1,760"
"131,557",Potter County Sheriff Office Citizen Academy,"1,817"
"131,507",Children's Advocacy Center (shredder),299
"131,495","National Law Enforcement Museum- Donation (approval per letter from Richard Weber, Asset Forfeiture and Money Laundering Section Chief, dated 4/11/08)",500
"131,494",Tees Plus - Tshirts for annual DARE Program,"4,978"
"131,486","Donation to National Law Enforcement Museum, Washington, DC","10,000"
"131,465",DFYIT - Drug Free Youth In Town (Gateways Unlimited - uniforms),"5,000"
"131,438",GUN BUY BACK PROGRAM - COMMUNITY,"10,315"
"131,428",Cops and Kids/Community Officers in Public Schools-School Resource Officers,"41,582"
"131,409","DDR PROMOTIONAL ITEMS (SILICONE BRACELETS, DOG TAGS)","2,546"
"131,398","Drup Awareness, Resistance and Education (D.A.R.E. Program)","4,915"
"131,398",National Night Out/Safe Neighborhood Program,"11,797"
"131,398",Police Resource Officer Program,"277,971"
"131,397",Guadalupe County Childrens' Advocacy Center for their annual audit  and rent for the building they use and office supplies,"10,080"
"131,343",Farmers Branch Chamber of Commerce-Red Ribbon Week,500
"131,333","Advertising, Drug Education","2,362"
"131,331",Child Advocacy Center,"25,019"
"131,291",Children's educational supplies on crime prevention in community outreach programs,"1,012"
"131,229",Community Drug & Alcohol Council project graduation,"2,500"
"131,229",Community Service crime prevention/drug awareness/education give aways,"2,602"
"131,229",Favor House of NW Florida Inc domestic violence awareness/prevention,"1,000"
"131,229",Gulf Coast Crimestoppers Program/Sponsorship,250
"131,229",Movement for Change youth crime prevention/awareness/education,"6,500"
"131,229",NAACP Freedom funds awards banquet,"1,500"
"131,229",Neighborhood Watch/Speed Signes,"2,160"
"131,229",Pensacola Alumni Charity Foundation youth programs,100
"131,229",Pensacola Community Arts & Recreation Association for non-violence/drug free community,500
"131,229",Pensacola Police Explorers Program,359
"131,229",Public Safety Announcements - Crime Prevention/Education,"4,868"
"131,229",Souther Youth Sports Association sponsorship for crime/drug prevention/awareness,"1,000"
"131,229",Youth for Truth Inc youth education/awareness,500
"131,219",EdVantage B-Safe School Program,300
"131,149",Talladega County Schools for teaching drug awareness and prevention. Materials used to teach and handouts used also,"2,326"
"131,060",A Child Is Missing program,250
"131,060",Explorer Scouts program,180
"131,060",Project Lifesaver International,8
"131,060",Red Ribbon program,"7,636"
"131,060",Superstar Kids program,27
"130,986",Gang Co-ordinator & Resource / Burlington Housing Authority/partical salary,"3,000"
"130,955",School Kids and Citizens drug awareness supplies,510
"130,951",Anthony Community 4th of July Parade,484
"130,951",Anthony Police Explorers Post #11,98
"130,951",Anthony Texas Police Department Food Pantry,"10,000"
"130,951",Child Safety Day,145
"130,951",National Night Out,115
"130,931",New Smyrna Beach Police Athletic League,"7,500"
"130,931",New Smyrna Beach Sr. High School,"4,982"
"130,923",Boy Scout Venturing Crew Academy Banquet,"1,163"
"130,923",Golden Spread Council of Boy Scouts/Good scout luncheon,"2,085"
"130,883",Bonner County Drug Court,500
"130,882",Bonner County Drug Court,500
"130,876",Basket ball goals for local neighborhood,762
"130,876",Candy for City Main Street Trick or Treat,278
"130,851",M.A.G.I.C. (Dare) Supplies,"29,572"
"130,815",LANCASTER COUNTY CHILD ADVOCACY CENTER,"1,994"
"130,778",City of Port Issabel EDC,"2,900"
"130,775",PAAL Shorts,121
"130,775",PAAL T-SHirts,217
"130,775",Southeast Florida Crime Watch Prevention,50
"130,751","Family Concepts, Ltd.","3,695"
"130,723","TNNG Youth Camps and local Elementary, Middle & High School programs","12,590"
"130,692",Elementary Schools -- Education Books,386
"130,650",National Law Enforcement Museum,500
"130,645",City Summer Youth Prog (registration & program fees),"11,917"
"130,645",Simple Self-defense for Women (instructor fee),990
"130,494",Anti-Drug Programs,"4,995"
"130,381","Elizabeth Police Block -Watch Groups, Crime Prevention Programs, and DARE","23,874"
"130,378",Supplies for Safety City and Community Policing division,"1,477"
"130,372",Crime Stoppers,"2,000"
"130,353",Local county and city schools (children ID's),"5,482"
"130,341",Family Connections,"1,920"
"130,269",Sponsorship of four at-risk youths to attend Drake University Football Camp,540
"130,171",Murrieta Valley Unified School District (D.A.R.E. Program),"1,709"
"130,003",DRUG PREVENTION & TREATMENT PAMPHLETS,"1,336"
"129,889",Enchantment Little League,100
"129,889",Tix for Tots (local charity),750
"129,889",Toys for Tots,"1,000"
"129,611",Children's Cabinet - Project ADAPT,"5,000"
"129,546","Classuc Printing, Hollon Signs, AACGS, Corporate Image","1,532"
"129,479",Drug Free Materials given out at school's,"2,040"
"129,423",Kids Fight Drugs 2011 Calenders,"4,700"
"129,337",YMCA,"5,000"
"129,332",MID-AMERICAN SUPPLY CO. DARE PROGRAM,"1,507"
"129,328",Citizen's Police Academy,640
"129,263","South San Francisco High School ""Los Hermanos Program"" - spent on tangible items in support of a team building ""ropes course.""",500
"129,230","Bill Brown & Company, summer inner-city youth camp supplies","2,687"
"129,230",Fathers and men United summer basketball league uniforms,"4,898"
"129,230",Trenton Police Department Youth Academy training and graduation supplies,"2,735"
"129,213",Imperial County Youth Summit-,"2,120"
"129,212",Boys and Girls Club,"5,156"
"129,211",National Law Enforcement Officers Memorial Fund,"10,000"
"129,180",National Night Out / Community outreach,787
"129,152",D.A.R.E.- Police Explorers,"3,605"
"129,146","Funds expended on clothing, shoes, school supplies, school uniforms, back packs, community project supplies, youth programs, maintenance, explorer academy, which includes uniforms, meals and housing.","39,649"
"129,124",National Law Enforcement Museum,"10,000"
"129,043",Police Athletic League,"61,090"
"129,036",Youth Academy expenses,"2,162"
"129,024",Repairs/Maint Other,"1,340"
"129,019",San Diego County Law Enforcement Explorer Academy,"5,350"
"129,012",Police Athletic League,"10,742"
"129,005",DARE Supplies,"1,758"
"128,982",Educational Materials,"7,260"
"128,972",Substance Abuse Task Force in Rural Appalachia (S.A.T.I.R.A.),"69,979"
"128,963",Anaheim PD Community Services Program (Victim-Witness Assistance Program),"5,000"
"128,931",Operation Gang Together,"55,664"
"128,929","""Drug Free"" giveaways to students in local public school system","1,405"
"128,907",Donation to National Law Enforcement Officer Memorial Fund,500
"128,907",Safe and Sound Neighborhood community-based event supplies,758
"128,886","Police Activity League of Waterbury, Inc.(Reimbursement of  Crime Prevention Programming Expenses)","5,095"
"128,867",Ohio Troopers Coalition,"94,934"
"128,833",ANTI-DRUG JUVENILE OUTREACH MATERIAL,"2,000"
"128,796",DEA Survivor's Benefit Fund,"1,200"
"128,796",GA State University Foundation - GILEE Program,"5,000"
"128,769","National Law Enforcement Museum - donation via National Law Enforcement Officers Memorial Fund, Inc.","5,000"
"128,769",Project Graduation - ASSETS (Armed Services Special Education and Training Society) School,238
"128,769",Project Graduation - Aiea High School Student Teacher Parent Council,"1,867"
"128,769",Project Graduation - Aiea Na Ali'i Project Graduation (Aiea High School),"2,000"
"128,769",Project Graduation - Families and Friends of Castle (for Castle High School),"2,000"
"128,769",Project Graduation - Friends for Waialua Town (for Waialua High School),778
"128,769",Project Graduation - Friends of Kailua High School,"2,000"
"128,769",Project Graduation - Friends of Kaiser PTSA,"2,000"
"128,769",Project Graduation - Hanalani Schools,"1,281"
"128,769",Project Graduation - Iolani School,700
"128,769","Project Graduation - Island Pacific Academy, Inc.",730
"128,769",Project Graduation - Kaimuki High School PTSA,"2,000"
"128,769",Project Graduation - Kalaepohaku Project Graduation (for St. Louis High School),"2,000"
"128,769",Project Graduation - Kalaheo High School PTSA,"2,000"
"128,769",Project Graduation - Kalani High School Association,"2,000"
"128,769",Project Graduation - Kapolei High School PTA,"2,000"
"128,769","Project Graduation - Le Jardin d'Enfants, Inc.","1,097"
"128,769",Project Graduation - Lutheran High School Association of Hawaii,525
"128,769",Project Graduation - Maryknoll School,"1,307"
"128,769","Project Graduation - Mililani High School SPADA, Inc.","2,000"
"128,769",Project Graduation - Moanalua High School PTSA,"2,000"
"128,769",Project Graduation - North Shore Career Training Corporation (for Kahuku High School),"2,000"
"128,769",Project Graduation - Olive United Methodist Church (for Leilehua High School),"2,000"
"128,769",Project Graduation - Pearl City High School PTSA,"2,000"
"128,769",Project Graduation - Punahou School,"1,780"
"128,769",Project Graduation - Sacred Hearts Academy,"2,000"
"128,769",Project Graduation - St. Andrew's Priory School,"1,300"
"128,769",Project Graduation - St. Francis School,895
"128,769",Project Graduation - The Roosevelt Alumni Foundation,"2,000"
"128,769",Project Graduation - University High School Booster Club,389
"128,769","Project Graduation -McKinley High School PTSA, -$520.98 (refund of duplicate payment from previous year) AND Mid-Pacific Institute, $2,000.00 (combined because program does not accept negative entries)","1,479"
"128,725",Decal lettering of PPD Vehicle 5245 with National Night Out logo for community event advertising,950
"128,725",National Night Out entertainment rental (various games),710
"128,725","T-shirts, golf shirts, banners, bracelets for National Night Out",974
"128,711","Funds for the Police Athletic League (PAL) program, administered by the BCPD.","20,686"
"128,703",Bridges (Building Resources in Detroit),"5,000"
"128,697",CRIME STOPPERS OF TANGIPAHOA,"2,500"
"128,693","Partnership for Drug Free NC, Inc","60,000"
"128,662",GRASPP- United Way- Gang Violence Prevention,"6,019"
"128,662",National Law Enforcement Museum,"1,000"
"128,629",Neighborhood Watch Program,"1,276"
"128,625",COP SHOP LLC,579
"128,625",MULTI PRODUCTS OF FRAMINGHAM,559
"128,625",ROBERTS COMPANY,161
"128,546",Effective Alternative in Reconciliation Services,"39,000"
"128,501",#533 Do The Right Thing,"5,000"
"128,501",#820 Weed and Seed through 5/20/11,"72,695"
"128,480",National Night Out,"8,742"
"128,480",Passaic Police Department Junior Police Academy,"22,419"
"128,475",Drug Education Program (T-shirts for Drug Ed Fair & Plaques),"1,235"
"128,458",Blue Moon Advertising  (children anti-drug campaign),"1,264"
"128,458",Boys & Girls Club (children anti-drug campaign),"10,000"
"128,458",Reno Rodeo Foundation (children anti-drug campaign),"1,000"
"128,442",PARENTS AS TEACHER (BADGES AND BOOKS PROGRAM),"2,500"
"128,403",Village of Monticello Parks & Recreation Dept Anti Gang Initiative,"2,675"
"128,375","GUIDED VISION/COMMUNITY SERVICE COUNSELING  (PARK FOREST) PROGRAM IS MADE UP OF YOUNG VIOLATORS  WHO ARE SENTENCED THROUGH LOCAL COURT TO COMMUNITY SERVICE AS AN ALTERNATIVE TO JUVENILE COURT, EMPHASIZING ""SMART CHOICES, DRUG AND ALCOHOL EDUCATION  AN NON-VIOLENT BEHAVIOR.  PROGRAM IS MADE UP OF POLICE OFFICERS, A PSYCOLOGIST AND MASTER DEGREE CANDIDATES IN COUNSELING.","12,758"
"128,375",PARK FOREST POLICE ATHLETICS ACTIVITIES CENTER  FUNDS PROVIDED FOR THE RENTAL OF FACILITIES AND EQUIPMENT FOR THREE DIFFERENT PROGRAMS THAT SERVICED 260 CHILDREN THROUGH TWO SUMMER CAMPS AND ONE WRESTLING PROGRAM THAT SERVICE D 40 CHILDREN.  ALL THREE PROGRAMS ARE  RAN THROUGH THE POLICE DEPARTMENT. ALL PROGRAMS EMPHASIZE A DRUG FREE AND NON-VIOLENT LIFESTYLE.,"8,490"
"128,353",Citizens Academy,"4,795"
"128,330",BOYS SCOUTS OF AMERICA-LEARNINGFOR LIFE SEMINAR-PARTICIPANT FEE FOR 100 YOUTHS,500
"128,217",Calexico Chamber of Commerce/Anti-Drug Handouts,"3,500"
"128,206",D.A.R.E.,"19,650"
"128,188",123 Precinct Community Council National Night Out Against Crime,210
"128,188",Camelot Drug Counseling Centers,"3,400"
"128,188",Catholic Charities Summer Camp,"7,524"
"128,188",Central Family Life Center,170
"128,188",Children's Aid Society Summer Camp,"1,579"
"128,188",Police Athletic League,"3,879"
"128,188",Safe Horizon,"1,260"
"128,188",Seamen's Society for Children,"5,281"
"128,188",Staten Island Mental Health,"1,190"
"128,188",YMCA Drug Counseling Services,"2,998"
"128,181",500 coins for community giveaways,"2,680"
"128,162",Fax Net 1,"9,900"
"128,126",Public Safety Day and Crime Prevention,"3,616"
"128,126",Student Awards for CDS Awareness,"5,000"
"128,114",Community Outreach Program/necessary items purchased for this program.,"6,186"
"128,098","GREATER NEW YORK COUNCILS, EXPLORING...","6,669"
"128,098",POLICE ATHLETIC LEAGUE INC.,"14,702"
"128,041",Paid for contract labor of Drug Court Counseling Services for participants in the VERITAS Drug Court program; Purchased drug testing supplies for the Drug Court program,"19,299"
"128,001","Hoggard High School,Ingram Library Services, Amazon, Wilmington Waves Basketball, Wilmington Journal, FBINAA-NC Chapter, (REDUCTIONS for Girls, Inc., Camp New Life, CF Area United Way, Wilmington Colts, St. Phillip AMC for prior year non-allowance)  (separate sheet will be attached)","7,414"
"127,995",A Child is Missing,250
"127,989","Community Outreach - Giveaway items, National Night Out (Coffee Mugs)","1,436"
"127,989",Cops for Tots - Black Small backpacks (100 qty),292
"127,950",Kiwanis Club of Rialto,"5,000"
"127,947",Greater Grand Rapids Chamber of Commerce (Silent Observer): Confidential reporting program where tips and information on criminal activity is provided and tipsters can be paid for their information that results in arrests and convictions.,"5,000"
"127,941",WeTIP,"1,500"
"127,873",Child Advocacy Center,"10,000"
"127,873",Visitation Center,"2,875"
"127,873",Youth Council,"10,000"
"127,794",Portsmouth Drug Treatment Court,"1,500"
"127,716",Women at Risk,"15,000"
"127,655",Crime Reports subscription,"1,188"
"127,604",CrimeStoppers,"5,000"
"127,564","LANCASTER CHILD ADVOCACY CENTER 1,800 DVDs for forensic interviews with child victimsOffice chairs, chairmats, and shelving for new facilityVacuum cleaners for new facility","8,026"
"127,561",Haverhill Boys & Girls Club,"1,362"
"127,561",National Law Enforcement Officers Memorial Fund,"1,000"
"127,439","Coastal Community Foundation, to promote drug and gag awareness","1,000"
"127,405",MARIETTA POLICE ATHLETIC LEAGUE,"8,500"
"127,329",Farmington Public Schools Turn Around Program,600
"127,177",National Law Enforcement Museum,"26,500"
"127,084",Teen Drug Awareness/Sheriff's Youth Activity League,"1,773"
"126,992",Lafourche Parish Drug Court and Dare Program,"6,259"
"126,881","AppleTime Inc. ""Drug Free Items""","1,249"
"126,881",Marion County News Journal (National Take Back Day),288
"126,859",National Law Enforcement Museum Donation,100
"126,764",Computer Cop Software Program,"5,000"
"126,750",Don't Horse Around with Drugs (drug awareness program),"2,126"
"126,746",Red Ribbon/Drug Awareness,"1,768"
"126,547",McLean County School,484
"126,482",Purchased video recording system for Dragonfly House Child Advocacy Center,"5,000"
"126,452",National Law Enforcement Officers Memorial Fund,100
"126,445",Anti-Drug Advertisements - Anti-Drug Project,"1,805"
"126,200","Cadet Program - clothing, promotional items, banners, bookmarks, rulers; Senior citizens TRIAD group -  Oktobertfest(informational event for senior citizens)","1,459"
"126,187",Police Athletic League,"25,876"
"126,165",Apple Time,"1,231"
"126,165",National Neighborhood Watch,320
"126,165",Reed Custer High School,196
"126,100",SHIELDED WATERS YOUTH FISHING PROGRAM,400
"126,023",D.A.R.E. Program,"4,750"
"126,019",D.A.R.E. Promotion Items,"4,343"
"126,016",Calendars,313
"126,016",Citizen Police Books,554
"126,016",Public Education Awareness Items,"2,138"
"126,016",Public Safety Key Rings,28
"126,008",National Night Out,"3,797"
"125,955",New Beginnings Dignity Services,"2,082"
"125,955",Rockland Family Shelter,"2,500"
"125,943","Donation to the St. Louis Police Department ""Do the Right Thing Foundation""",500
"125,935","D.A.N.G.E.R. Program, administered by Lansing Police Department","11,802"
"125,909",DRUG FREE PROGRAMS,"15,681"
"125,908",Citizens (neighborhood events/services),"2,884"
"125,877",DARE,"4,500"
"125,833","Sponsorship for ""Do the Right Thing"" through Southern IL Police Chief Association",500
"125,833",Sponsorship of the St Louis Regional Crimestoppers Tip Hotline,500
"125,833","Sponsorship of the community based newsletter ""Citizens United For Fairview""",100
"125,711",Modern Marketing and RDJ  Specialties,"12,214"
"125,297",Drug Free Zone signs,787
"125,297",Letter for Community Vehicle,280
"125,212",D.A.R.E.,"3,444"
"125,179",Neighborhood Watch / Citizens Police Academy,"5,883"
"125,157",MOSELF,500
"125,138",WHPD Community Awareness,"1,869"
"125,037",Educational supplies and materials for drug and crime prevention in outreach programs,"3,862"
"124,893",AUTO SIGN GRAPHICS ( CRIME PREVENTION ALUMINUM SIGN),"3,200"
"124,893",EL DOLARAZO INC NETNIQUES CORP ( NATIONAL NIGHT OUT AGAINST CRIME EVENT),"2,568"
"124,893",HERTZ RENTAL EQUIPMENT (NATIONAL  NIGHT OUT AGAINST CRIME EVENT),478
"124,893",NETNIQUES CORP ( NATIONAL NIGHT OUT AGAINST CRIME EVENT),695
"124,893",PRINTING AND GRAPHICS ( DOMESTIC VIOLENCE BROCHURES),"1,350"
"124,774",Law Enforcement Career Day,320
"124,769",neighborhood programs,"1,000"
"124,713",The Victim Center,320
"124,641",Drug Education Program Material,"1,388"
"124,637",crime prevention programs (172511-521520),"5,711"
"124,608",Creative Safety,299
"124,595",Local Human Rights Commission to handle Internal Investigations of complaints,"20,000"
"124,508",Printing of Drug Identification Books,"1,188"
"124,402",Ontario County Youth Court c/o The Partnership for Ontario County,"5,000"
"124,401",Ontario County Youth Court c/o The Partnership for Ontario County,"15,000"
"124,397",Metro Youth Classic,"3,250"
"124,363",D.A.R.E.,567
"124,337",Child Advocacy Center,560
"124,337",Community Corrections-Training for Community Corrections Personal,978
"124,337",Lancaster County Adult Drug Court,725
"124,337",Lancaster County Attorney's Office for Training on Community Prosecution,912
"124,337",Lincoln Police Department for training on Community Prosecution Policing,845
"124,276",Westerville Police Department DARE program,"26,472"
"124,201",Chillicothe Paints (D.A.R.E. Night),750
"124,201",Drug Enforcement Education Account,"1,900"
"124,176",Pennsylvania Traffic Safety Network,"1,100"
"124,142",Transfer funds into Crime Prevention for supplies,"3,000"
"124,141",Annual 2010 Assessment to Crime Stoppers of Puget Sound,"3,382"
"124,049",BICYCLE PATROL EQUIPMENT FOR COPS PROGRAM,"2,247"
"124,035",Community Drug Screen via testing kits made available to individuals,"2,560"
"123,975",Do the Right Thing of Greater St. Louis,500
"123,971","Boulder Homeless Shelter - Donation to help support programs that serve over 1,000 persons each year. Purchased bus tokens for Shelter clients.","1,000"
"123,971","Family Learning Center - Donation to support the Family Learning Center Youth Summer Program for at risk youth. Purchased supplies and equipment for the program. Youths referred by Juvenile court, Officers assigned to assist in the program.","2,500"
"123,971","Reading to End Racism of Boulder - Department purchased books, brochures and placed a book plate in each book that states purchased by the Boulder Police Department.",500
"123,959","Lakeside Center, Pattonville High School","11,816"
"123,946",Cardinal Stritch High School Operation Safe Graduation,300
"123,946",Clay High School Operation Safe Graduation,300
"123,946",D.A.R.E. program T-shirts and Supplies,"3,187"
"123,936",MONIES TO SUPPORT NYS FAMILY DRUG COURT PROGRAM $1500 AND MONIES TO SUPPORT PROJECT LIFESAVER PROGRAM $6000.,"7,500"
"123,923",Healthy Adams County,500
"123,908",Area schools - DARE badges,194
"123,885","US VETERANS NETWORK - HONOR GUARD SUPPLIES - CASKET FLAGSCATALOG MARKET PLACE - HONOR GUARD EQUIPMENT & SUPPLIES","2,113"
"123,883",Child Abuse Prevention Services,"19,589"
"123,883",Cleary School for the Deaf,"10,000"
"123,883",Council for Unity,796
"123,883",Crimestoppers,"20,796"
"123,883",Generation Unleashed,"7,162"
"123,883",Hofstra University,"2,000"
"123,883",Hope House Ministries,"30,010"
"123,883",Mothers Against Drunk Driving,"45,725"
"123,883",Society for the Prevention of Cruelty to Animals,"25,411"
"123,883",Suffolk County Coalition Against Domestic Violence,"10,000"
"123,883",Suffolk County Police Athletic League,"36,944"
"123,875",National Law Enforcement Museum,500
"123,874",Diversity Action Council,509
"123,856",Drug Education,"9,527"
"123,786",West Bloomfield Youth Coalition,"5,000"
"123,785",Optimist Club for Youth,500
"123,785",Youth Coalition of West Bloomfield,"5,000"
"123,750",Foundations for Franklin County,"10,400"
"123,724",Paulsboro Neighborhood Watch Program,250
"123,673","Arfmann marketing-school McGruff, Spivy Group, videos of kids on campus","2,982"
"123,667",Bellbrook High School Safe Homes Directory (No Drugs/No Alcohol),"2,000"
"123,667",Yellow Springs High School Anti-Drug Activities,520
"123,647",Community Empowerment Trust,534
"123,637",Newburg School Anti Drug After Prom and After Graduation Programs,"7,000"
"123,637",Phelps County Anti Drug Committee,"45,000"
